epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.919974,0.3275,1.674597,0.431965,0.001,32.9062
2,1.588532,0.446667,1.386915,0.561555,0.001,18.2614
3,1.36268,0.545,1.300311,0.537797,0.001,2.5456
4,1.214445,0.6075,1.308543,0.539957,0.001,2.6855
5,1.050651,0.671667,1.250547,0.574514,0.001,2.3701
6,0.938576,0.718333,1.315831,0.542117,0.001,2.1616
7,0.851293,0.750833,1.222197,0.570194,0.001,2.3501
8,0.731907,0.790833,1.269601,0.546436,0.001,2.369
9,0.676371,0.804167,1.445243,0.492441,0.001,2.1735
10,0.606682,0.824167,1.345572,0.585313,0.0005,2.5009
11,0.517941,0.866667,1.028595,0.656587,0.0005,2.5756
12,0.48332,0.865833,1.136827,0.647948,0.0005,2.3594
